GL,vs,GL
Ball No,Runs,General Commentary,Bowler,Batsman,Fielder
2.3,2,"Bipul Sharma to Roy, 2 runs, tries his hand at a switch hit this time, just manages to clear the infield, Henriques runs back from point to cut tha off",Bipul Sharma,Roy
2.2,0,"Bipul Sharma to Roy, no run, sees the batsman give him the charge and slows it down nicely, shortens his length a touch as well, defended back down the pitch short third man, point, cover point, extra cover and long-off in place",Bipul Sharma,Roy
2.1,1,"Bipul Sharma to McCullum, 1 run, drifting into middle and leg, he lunges forward and then works it to midwicket BB McCullum B Kumar JJ Roy Bipul Sharma",Bipul Sharma,McCullum
1.6,1,"Kumar to McCullum, 1 run, angles a short of length delivery on middle and leg, whipped to deep square",Kumar,McCullum
1.5,1,"Kumar to Roy, 1 run, wristy whip this time to deep backward square leg slip goes out.",Kumar,Roy
1.4,4,"Kumar to Roy, FOUR, backs away and swats the short delivery on middle over cover point. Cleared the front leg early to make the stroke a possibility.",Kumar,Roy
1.3,4,"Kumar to Roy, FOUR, shimmies down the pitch and slaps him over mid-on. Got that off the middle this time. Free swing of the arms to generate the power",Kumar,Roy
1.2,0,"Kumar to Roy, no run, gets this to lift off the deck from short of good length, comes back in long way to cramp Roy for room and hit high on the bat Warner is at wide slip",Kumar,Roy
1.1,0,"Kumar to Roy, no run, hint of away movement from length outside off, punched to mid-off JJ Roy Bipul Sharma BB McCullum",Kumar,Roy
0.6,1,"Bipul Sharma to Roy, 1 run, not quite to the pitch of the ball but he drives through the line to long-off. Tidy start",Bipul Sharma,Roy
0.5,1,"Bipul Sharma to McCullum, 1 run, pushed through quicker, on middle and leg, tucked to square leg",Bipul Sharma,McCullum
0.4,0,"Bipul Sharma to McCullum, no run, slows it down nicely, there's some loop on the delivery too as he lands it on middle and off, McCullum deadbats that",Bipul Sharma,McCullum
0.3,1,"Bipul Sharma to Roy, 1 run, spins away from length on middle, whipped to deep midwicket to get off the mark",Bipul Sharma,Roy
0.2,0,"Bipul Sharma to Roy, no run, drifting into middle and leg, tickled to short fine for a quick single",Bipul Sharma,Roy
